	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	capillary endothelial cell	endothelial cell	endothelial cell of artery	fibroblast	macrophage	mast cell	natural killer cell	neutrophil	pericyte	smooth muscle cell	vein endothelial cell
TMX3	0.0075441	0.0252611	0	0.0419834	0	0.178882	0	0.159066	0	0	0.253217	0.0656147	0
TMX4	0.310215	0.35375	0	0.177384	0.0625719	0.266982	0.142574	0.245103	0.556475	0	0.231134	0.204597	0.24304
TNC	0	0	0	0	0	0.235611	0	0.168007	0	0	0.567508	0.241406	0
TNF	0.369439	0.617649	0	0	0	0	0.665509	0.395919	0	0	0.0271835	0	0
TNFAIP1	0	0	0.60721	0.341083	0.69749	0.126578	0	0	0	0	0.132234	0	0
TNFAIP2	0.0224088	0	0	0.435508	0.404173	0.862326	1.11699	0	0	0	0.394791	0.0388452	0.549894
TNFAIP3	1.77175	0.865578	0	0.327588	0.032752	0.491881	1.52663	1.82761	0.501739	2.89484	0.135614	0.110129	0
TNFAIP6	0	0	0	0.0396887	0	0.453276	0.145464	0.22397	0	0	0	0.0501896	0
TNFAIP8	0.453158	0.930355	0	0.0738556	0	3.87773e-05	0.325016	0.00116578	0.347348	0	0.166985	0.000618968	0
TNFAIP8L1	0	0.000354069	0	0.00396264	0	0	0	0	0	0	0.007701	0	0
TNFAIP8L2	0	0.000577332	0	0	0	0	0.0867411	0	0.543689	0	0	0	0
TNFAIP8L3	0	0	0	0	0	0.041802	0.068634	0	0	0	0.144351	0.354772	0
TNFRSF10A	0.0962453	0.28522	0	0.168025	0.268022	0.000509587	0.0177624	0.269455	0.0214575	0	0	0.0111854	0.721934
TNFRSF10B	0.110754	0.13937	0.000446706	0.189436	0.153252	0.0959676	0.0933022	0	0	0	0.00722318	0.00057542	0.00184844
TNFRSF10C	0	0	0	0.0361052	0	0.00100336	0	0	0	0	0.000143042	0.000169621	0.0154126
TNFRSF10D	0.0228296	0.000416957	0	0.158741	0.797366	0.0153424	0.0682646	0	0	0	0.0159401	0	0.127691
TNFRSF11A	0	0	0	0.0049685	0.000452523	0	0.0859077	0	0	0	5.23214e-05	0	0
TNFRSF11B	0	0	0	0.0786656	0	0.0137831	0	0	0	0	0.146181	1.46482	0
TNFRSF12A	0	0.058547	0	0.0356795	0	0.0597878	0.0366365	0	0	0	0.237478	0.423975	0
TNFRSF13C	0	0	0	5.50184e-05	0	4.48852e-05	0	0	0	0	0	0	0
TNFRSF14	0.0124089	0.117724	0	0.133456	0.960203	0.114075	0.301467	0	0.0561047	0	0.0566489	0	0.018971
TNFRSF19	0	0	0	0	0	0.0399507	0	0	0	0	0	0	0
TNFRSF1A	0.190399	0.272858	0.427516	0.494496	0	0.592232	0.696672	0	0.46053	0.0671564	0.560716	0.230886	1.47131
TNFRSF1B	0.104175	0.303118	0.574015	0.582249	0.613848	0.0469011	0.342993	0	0.00199241	0	0.173858	0	0
TNFRSF21	0	0	0	0	0	0.0206814	0.0672246	0	0	0	5.87364e-05	0	0
TNFRSF25	0.0714	0	0	0.0553172	0.244775	0.0104383	0.0499773	0	0	0	0.00287173	0	0
TNFSF10	0.105676	0.153367	2.77585	1.25291	0.457005	0.610285	0.122107	0.102607	0.53969	0	0	0	1.10149
TNFSF12	0.0764671	0.103849	0	0.0239402	0.355578	0.0737317	0.120357	0.0280626	0	0	0.334414	0.127538	0.454429
TNFSF13	0	0	0	0.0248993	0	0.115285	0.131578	0	0	0	0.0168216	0	0
TNFSF13B	0.0642837	0.000168708	0	0	0	0.107378	0.0908872	0	0	0	0	0	0
TNFSF14	0.127294	0.161907	0	0	0	0.152912	0	0	0	0	0.000108495	0	0
TNFSF8	0.405857	0.533532	0	0	0	0	0.15788	0	0	0	0	0	0
TNFSF9	0	0.0588816	0	0.123567	0.0022565	0.0520099	0.0123657	0	0	0	0.00219209	0	0
TNIK	0.104298	0.084477	0	0	0	0.00010127	0	0.069692	0.535188	0	8.08682e-05	0	0
TNIP1	0.0151593	0.013409	0.326027	0.144256	0.364341	0.128252	0.232684	0.0183844	0	0	0.0865982	0.138722	0.0501742
TNIP2	0.026634	0	0	0.126665	0.477266	0.116191	0.00703356	0	0	0	0.103679	0.129455	0.964699
TNIP3	0	0.299298	0.00763712	0	0	0	0.0452121	0	0	0	0	0	0
TNK2	0	0	0	0.0167496	0	0.00677915	0.275952	0	0	0	0.00811078	0.0394448	0
TNKS	0.0339457	0.0620039	0.234848	0.00109824	0.0688922	0.0496095	0.0051482	0	0	0	0.0351458	0.0563544	0
TNKS1BP1	0	0	0	0.135437	0	0.232218	0	0	0	0	0.107792	0.173444	0
TNKS2	0.141365	0.0276989	0.46346	0.0713944	0	0.0957897	0.176895	0.472479	0	0	0.209357	0.117615	0.000925074
TNMD	0	0	0.948356	0	0	0.0510423	0	0	0	0	0	0	0
TNNC1	0	0	0	0	0	0	0	0	0	0	0.0732809	0	0
TNNT3	0	0	0	0	0	0.17812	0	0	0	0	0	0	0
TNPO1	0.0269582	0.000280471	0.614036	0.140954	0.504031	0.419343	0.227605	0.738659	0	0	0.0633311	0.0599643	0.00460835
TNPO2	0.000566848	0.0355553	0.407372	0.066206	0.0479794	0.0683834	0.00487605	0	0	0	0.0527585	0.14899	0.0348668
TNPO3	0.0027672	0.201847	0	0.125318	0	0.0830352	0.0443879	0	0	0	0.138967	0.0332507	0
TNR	0	0	0	0	0	2.00372e-05	0.000105225	0	0	0	7.96299e-05	0	0
TNRC18	8.95049e-05	0	0.0124263	0.0239823	0	0.0133115	0.108476	0	0	0	0.00460947	0.0152481	0.0940585
TNRC6A	0.169317	0.024922	0.570036	0.168343	0	0.304694	0.0907511	0.285066	0.164466	0	0.194814	0.212722	0
TNRC6B	1.16304	0.661898	0.222898	0.650334	0.459474	0.907321	0.220152	0.823768	1.3336	1.1396	0.696594	0.759306	1.69466
TNRC6C	0.33145	0.238901	0.0196984	0.192265	0.00826494	0.194869	0.000583626	0.104042	0.353513	0	0.240913	0.220231	0
TNS1	0	0	0	0.182024	1.20997	0.501718	0.218566	0	0	0	1.6139	1.53524	0
TNS3	0	0	0	0	0	0.035038	0.471455	0	0.000945777	0	0.111917	0.555656	0
TNXA	0	0	0.00836917	0.0233366	0	0.067765	0	0	0	0	0.024815	0.00968177	0
TNXB	0	0	0.00745298	0.0599656	0	0.445694	0	0	0	0	0.0741664	0.0765148	0
TOB1-AS1	0	0	0	0	0	0.00984532	0.00878459	0	0	0	0.0202206	0.0590101	0
TOB2	0.0616051	0.148162	0.727369	0.120361	0.210097	0.289056	0.202513	0.000245037	0	0	0.333424	0.649794	0.217537
TOE1	0	0	0.566105	0.051177	0	0.0443164	0	0.227881	0	0	0.0389136	0	0
TOLLIP	0.0635592	0.121835	0	0.00948028	0	0.141947	0.179703	0	0	0	0.159561	0.30977	0
TOM1	0.0239691	0	0	0.000470909	0.69944	0.0846123	0.335477	0.567878	0	2.04905	0.00498346	0.0401592	0
TOM1L1	0	0	0	0	0.541465	0.000971204	0	0	0.000482675	0	5.84247e-05	0.0351094	0
TOM1L2	0.0543489	0.0852076	0	0	0.395771	0.105445	0	0.154449	0.26782	0	0.0641387	0.000911392	0
TOMM20	0.144665	0.0609714	0.353903	0.128296	0.842281	0.263258	0.392883	0.334147	0.928945	0	0.167894	0.074508	0.164506
TOMM22	0.00117951	0.11081	0.48601	0.219323	0	0.40443	0.0536853	0.20769	0.360209	0	0.149629	0.443533	0
TOMM34	0.0719575	0	0	0.0952609	0.108552	0.0782728	0.0764497	0	0	0	0.104597	0.188708	0
TOMM40	0.0751837	0.0753076	0	0.224484	0.00180642	0.0823735	0.0770751	0	0	0	0.0428263	0.0339701	0.00460835
TOMM40L	0.0646215	0	0	0	0	0.00614726	0.0812979	0.000977636	0	0	0	0	0
TOMM5	0.226482	0.161668	0.305537	0.150195	0	0.256492	0.0645103	0.23094	0.246096	0	0.26603	0.227769	0.291193
TOMM7	0.688588	0.338552	0.778814	0.499893	0.728687	0.726627	0.334668	0.498836	0	0	0.7481	0.729894	0.716934
TONSL	0	0.000942123	0	0.00157155	0	0	0.129221	0	0.236063	0	3.26795e-05	0.0135245	0
TOP1	0.127329	0.196701	0.000644003	0.363658	0.670033	0.254076	0.303323	0.351653	0	0	0.245745	0.0124656	0.889459
TOP1MT	0.0424032	0.00128204	0	0.0028699	0	0.0382319	0.0879959	0	0	0	0.0725929	0.0404452	0
TOP1P1	0	0	0	0	0	0.000137712	0	0	0	0	4.0813e-05	0	0
TOP2A	0	0	0	0	0	8.59673e-05	0.000583626	0	0	0	0	0	0
TOP2B	0.452965	0.000383854	0.0866652	0.300573	0.55409	0.303523	0.14456	0.00197148	0	0	0.10245	0.112973	0.37754
TOP3A	0.00985666	0.123007	0	0.123528	0	0.0411914	0.226426	0	0	0	0.0465943	0.0350299	0
TOPBP1	0.0631894	0.0953512	0	0.00894332	0	0.134601	0.067597	0	0	0	0	0.0168758	0
TOPORS	0.0574453	0.00877848	0	0.0445696	0	0.12269	0.177932	0	0	0	0.0885855	0.144061	0
TOR1A	0.432981	0.472317	0	0.366749	0	0.370313	0.00279214	0.274446	0.00113301	0	0.213276	0.239619	0.53622
TOR1AIP1	0.0449547	0.119583	0	0.000543571	0.42226	0.190421	0.249362	0.63986	0.471604	0	0.245376	0.106173	0.544657
TOR1AIP2	0.19684	0.273409	0.313087	0.432255	0	0.66778	0.0984302	0.0382895	0.473127	0	0.578663	0.311151	0
TOR1B	0.0743707	0.0257062	0.479075	0.0778349	0.687854	0.184221	0.0483041	0	0	0	0.203937	0	0.17546
TOR2A	0	0.486216	0.49397	0	0	0.0531563	0.0662375	0	0	0	0.0374326	0.0817009	0
TOR3A	0.0426587	0.186984	0	0.0274403	0	0.169033	0.174607	0	0	0	0.0872059	0.103188	0
TOX	0.12047	0	0	0	0.545833	0	0.000630022	0.216399	0.00785325	0	0	0	0
TOX2	0	0	0	0.0871379	0.107544	0.000272629	0.00228439	0	0	0	0	0	0
TOX3	0.0001855	0	0.000446706	0	0	0.0276181	0	0	0	0	0	0	0
TOX4	0.169178	0.0462679	0.0895222	0.218065	0.345695	0.199496	0.238451	0.146947	0.485565	0	0.193765	0.195343	0.0314945
TP53	0.118654	0.00396486	0.172547	0.0980096	0.0337928	0.14053	0.190754	0	0.345817	0	0.280905	0.174331	0.988718
TP53BP1	0.00587331	0.0657264	0	0.108603	0	0.033912	0.00170446	0.0296261	0	0	0.0158677	0.237764	0.000925074
TP53BP2	0.21004	0.124262	0.262389	0.100789	0	0.0401176	0.00993259	0	0.580942	0	0.103181	0.0690069	0.911978
TP53I11	0.0557106	0.0184649	0	0	0.421944	0.155386	0.0638644	0	0	0	0.499528	0.190146	0
TP53I13	0	0.0746145	0	0.0122912	0	0.123745	0.000667367	0.140779	0	0	0.0479918	0	0
TP53I3	0.0627997	0	0	0.0919548	0	0.148783	0.264223	0	0	0	0.138161	0	1.09152
TP53INP1	0.16685	0.0673678	0	0.0410679	0.000452523	0.064014	0.0816602	0.212297	0	0	0.108429	0.103328	0
TP53INP2	0.151596	0	0	0.0515466	0	0.0691276	0.184186	0.510419	0	0	0.0874144	0.00203167	0
TP53RK	0.0662873	0.236449	0	0	0	0.0950127	0.0646845	0.326678	0	0	0.00164967	0.0630737	0
TP53TG1	0.105148	0.00053408	0	0.068592	0.340446	0.163303	0.0156094	0.167223	0	0	0.099096	0.0805362	0
TPCN1	0.0800653	0	0	0.0852809	0	0.165871	0.263528	0.429196	0.0629172	0	0.22717	0	0.392966
TPCN2	0	0	0	0.0383532	0	0.0477327	0.000112222	0.0220815	0	0	0.00563703	0.0109338	0
TPD52	0.183366	0.249366	0.52998	0.135715	0	0.000131643	0	0	0	0	5.66684e-05	0	0
TPD52L1	0	0	1.35436	0.68075	0	0.0523221	0	0	0	0	0.0276822	0.475335	0.266403
TPD52L2	0	0.112662	1.06285	0.295919	0	0.298093	0.186459	0.564162	0	0.0671564	0.362528	0.189197	0
TPGS1	6.7689e-05	0.0167481	0	0	0	0.0136918	0.0532045	0	0	0	0.0267175	0.0521707	0
TPGS2	0.14749	0.340274	0	0.201837	0	0.239164	0.107828	0	0	0	0.353947	0.0873534	0.736949
TPH1	0.000156536	0	0	0.0405346	0	0.0341914	0.0460829	0	0	0.102704	0.000698328	0.0583198	0
TPI1	0.822651	1.36438	1.68947	1.27991	1.59627	1.59226	0.566799	1.58871	1.06043	0	2.15844	1.44267	1.71945
TPI1P2	0.000354414	0.00258934	0.00111638	0.0002781	0	0.000328134	0.0293618	0.00314897	0	0	0.0018666	0.00114792	0.000919893
TPI1P3	0.00165503	0.0067368	0.002009	0.00307675	0.000452523	0.00197049	0.00047472	0.00852422	0.000964187	0	0.00400509	0.00383612	0.00184844
TPK1	0.0497513	0	0	0	0	0.0313268	0.00624917	0	0.331456	0	0.0167481	0	0
TPM1	0	0.108603	2.45408	0.923569	1.52107	0.543694	0.0558763	0	0	0	2.65952	2.5986	1.64256
TPM2	0.0583032	0	0	0.0688735	0	0.446096	0.0345233	0	0	0	2.79776	3.81559	0
TPM3	0.921091	1.20452	2.07521	1.58413	1.72649	0.843576	1.15511	0.762978	1.38962	0.498511	0.2441	0.197149	2.10003
TPM3P9	0.000402846	0.0785954	0	0.0324076	0.000904432	0.0677873	0	0.000204338	0	0	0.0147249	0	0
TPM4	0.502457	0.458325	1.03154	1.20841	0.655171	0.921131	0.731586	1.57835	0.000482675	0.380434	1.81395	2.23971	1.29922
TPMT	0.153452	0.0482248	0	0.146626	0	0.0561553	0.246338	0.0297922	0.459864	0	0.12106	0.163122	0.7306
TPO	0	0.000185361	0.542441	0.197367	0	0	0	0	0	0	0	0	0.865765
TPP1	0.260551	0.377468	0.503238	0.355466	0	0.283009	0.716399	0.283012	0.373024	0	0.169116	0.215565	0
TPP2	0.18138	0.162191	0	0.0409379	0	0.156029	0.241235	0.00262265	0.326807	0	0.100784	0.30391	0.853217
TPPP3	0	0	0	0	0	0.0399125	0	0	0	0	0.302658	0.223507	0
TPR	0.428041	0.987971	0.725026	0.625037	0.76837	0.588647	0.248478	0.766301	0.832153	0	0.382156	0.535085	1.94031
TPRA1	0	0.0479213	0	0.0262807	0	0.0693077	0.223081	0.0423487	0	0	0.0505794	0	0.949907
TPRG1	0.201907	0	0	3.16366e-05	0	0.0819057	0.000148281	0	0.417277	0	0.101905	0.000133484	0
TPRG1L	0.0454536	0	0.0996388	0.0947084	0	0.126845	0.0336952	0	0	0	0.0725125	0.171974	1.21183
TPRKB	0.107848	0.17565	0.379666	0.290014	0.272089	0.294027	0.240001	0.0484925	0.454966	0	0.241404	0.0806721	0
TPSB2	0	0	0	0	0	0	0.0596719	3.1835	0	0	0	0	0
TPSD1	0	0	0	0	0	0	0.00477121	0.72694	0	0	0	0	0
TPSG1	0	0	0	0	0	0	0	0.497561	0	0	0	0.000196702	0
TPST1	0	0	0.6071	0.225204	0	0.485699	0.472433	0	0	0.227128	0.188254	0.0428802	0
TPST2	0.0602634	0.253636	0.685849	0.461088	1.38746	0.0672881	0.12298	1.60283	0.559694	0	0.200557	0.067873	1.2398
TPT1	2.671	1.80076	2.11479	2.41824	1.9694	2.40592	2.85399	2.19584	2.69943	2.14717	2.41388	2.32534	2.67555
TPT1-AS1	0.202786	0.389607	0.0243112	0.205405	0.00277781	0.265938	0.122156	0.228797	0	0	0.178148	0.330965	1.22804
TPTE2	0	0	0	0.000102677	0.000696626	0.0090032	0	0	0	0	5.53532e-05	0	0
TPTE2P1	9.23775e-05	0	0	0	0	8.50638e-05	0.000118317	0	0	0	0	0	0
TPTE2P3	0	0	0	0	0	0.063107	5.2979e-05	0	0	0	0	0	0
TPTE2P5	0	0.0496419	0.0217379	0	0	0.00156868	0	0	0	0	0	0.0467963	0
TPTE2P6	0	0	0	0	0	0.000146224	0	0	0	0	0	0	0
TPTEP1	0.000149176	0	0	0.00179399	0.00588566	0.0966687	0.0218995	0	0	0	5.88376e-05	0	0
TRA2A	0.823876	0.683383	1.18227	0.538006	1.03791	0.531933	0.393035	1.05833	1.80453	0	0.69985	0.683064	1.08569
TRA2B	0.461596	0.525309	0.242448	0.545557	0.234543	0.206789	0.671049	1.02963	0	0	0.36045	0.365814	0.465994
TRABD	0.00834989	0.012899	0.375537	0	0	0.041399	0.0293602	0.487789	0.247843	0	0	0	0
TRABD2A	0.45814	0.0555833	0	0	0	0.032622	0	0	0	0	0	0	0
TRABD2B	0	0	0	3.16366e-05	0	0.0163847	0	0	0	0	0.0378419	0.000205555	0
TRADD	0.0519184	0.165137	0	0.119496	0.406234	0.196063	0.0865514	0	0	0	0.0859165	0.155595	0
TRAF1	0.00292536	0.124831	0	0.00558786	0	0	0.0477178	0.000220402	0	0	0	0.18394	0
TRAF2	0	0	0	0.0137271	0	0.00852572	0.0519716	0	0	0	0.000143042	0.170647	0
TRAF3	0.0856886	0.255731	0	0	0	0.0567142	0.00241159	0.000245037	0	0	0.0309814	0	0
TRAF3IP1	0	0.000356009	0	0	0	0.0395799	0.0835755	0.187977	0	0	0.121086	0.10975	0
TRAF3IP2	0.0174689	0	0.593029	0.169777	0.839934	0.190622	0.000201283	0.387483	0	0	0.0511617	0.170255	0
TRAF3IP3	0.370928	0.700834	0	0	0	0.0264488	0	0.840938	0.796055	0	0	0	0
TRAF4	0.00847258	0	0	0.0615469	0	0.00333788	0	0.0257517	0	0	0.000463712	0	0.000925074
TRAF5	0.325872	0.322482	0.000892616	0	0	0.00365129	0.0100908	0	0	0	0.172802	0.0884127	0
TRAF6	0	0	0	0.295011	0.116021	0.0789818	0.00460085	0	0	0	0.0862307	0.392172	0
TRAF7	0	0	0.178343	0.0207574	0	0.0761991	0	0	0.306264	0	0.0222511	0	0.00366946
TRAFD1	0.193291	0	0.203187	0.0971879	0.502926	0.137256	0.261995	0	0	0	0.138079	0	0.618652
TRAIP	0	0	0	0	0	7.83882e-05	0.0397866	0.000389651	0	0	0.0407178	0	0
TRAK1	0.0661093	0.0642676	0.216583	0.0495096	0	0.053658	0.0523287	0.000793773	0	0	0.192719	0.070884	0
TRAK2	0.077498	0	0.0400682	0.156717	0.13241	0.16027	0.0311275	0	0	0	0.067091	0.483966	1.03238
TRAM1	0.359296	0.682772	0.663885	0.474854	0.329851	0.670314	0.451343	0.00272145	0.0470847	0.0539846	0.257281	0.274806	0.796514
TRAM2	0	0.0722255	0.489337	0.108765	0	0.168211	0.0405456	0	0	0	0.0845137	0.14674	0
TRANK1	0.139926	0.115772	0.000446706	0.129691	0.00270597	0.0777143	0.00580337	0	0.00112935	0	0.00506182	0.0214765	0
TRAP1	0.0680299	0.000154665	0	0.180286	0	0.0772385	0	0	0.245569	0	0.0633166	0.052703	0
TRAPPC1	0.0764491	0.198781	0.284023	0.0751627	0.257042	0.1227	0.0407817	0.0111047	0	0	0.174092	0.227133	0.397334
TRAPPC10	0.0885994	0.172539	0	0	0	0.0235701	0.150488	0	0	0	0.00320583	0.00113111	0
TRAPPC11	0.107667	0	0.00188418	0.0353837	0.578171	0.134963	0.132932	0.337958	0	0	0.0454392	0.0963409	0
TRAPPC12	0.0216124	0	0	0.0955659	0.0629466	0.0540785	0.209668	0.224061	0	0	0.112578	0.0319553	0
TRAPPC2	0.308711	0.2926	0.00653342	0.328188	0.478194	0.228537	0.0146757	0.409559	0.00835517	0	0.214053	0.121294	0
TRAPPC2L	0.0516943	0.171116	0	0.176709	0	0.248039	0.00421344	0.269213	0	0	0.276111	0.139609	0
TRAPPC3	0.0799761	0.0920795	0	0.166152	0	0.182242	0.00989065	1.46375	0	0	0.269303	0.102213	0
TRAPPC4	0.134752	0.429773	0.428555	0.167226	0.491133	0.292156	0.00486059	0.312642	0.0018871	0	0.345848	0.420532	0.555443
TRAPPC5	0.0495066	0.0108828	0.0212899	0.0230818	0.0420612	0.0470092	0.017363	0	0.14278	0	0.0736534	0.0633091	0
TRAPPC6A	0.267355	0.0542835	0.357442	0.121899	0.0801177	0.0369629	0.0643532	0	0	0	0.0265431	0.0786605	0
TRAPPC6B	0.0854938	0.00763644	0	0.00156791	0.667002	0.0270075	0.0123725	0	0	0	0.00707837	0.0198257	0
TRAPPC8	0.165326	0.184448	1.04353	0.0320421	0.0156652	0.271172	0	0	0	0	0.0937048	0.0876493	0
TRAPPC9	0	0.0467805	0	0.0207851	0	0.0173554	0.0328866	0.226179	0.000482675	0	0	0.0649934	0.500045
TRAT1	0.471466	0.516667	0	0	0	0	0	0	0	0	0	0	0
TRDMT1	0.0319174	0.0574073	0	0.0211498	0	0.0732051	0.0615798	0	0.194234	0	0	0	0
TRDN	0	0	0	0	0	0	0.000150783	0.000204338	0	0	5.23214e-05	0	0
TREM1	0	0	0	0	0	0.0151889	0.307502	0	0	0.658373	0	0	0
TREM2	0	0	0	0	0	0	0.18328	0	0	0	0	0	0
TRERF1	0.00198531	0	0	0	0	0.0939871	0.00118637	0	0.4056	0	0.00451954	0.00217022	0
TREX2	0	0	0.00921719	0.000109931	0	0.00543659	0	0.00423088	0	0	0.0286682	0.00360767	0
TRHDE	0	0	0	0	0	0.0410183	0	0	0.0018871	0	5.87364e-05	0	0
TRHDE-AS1	0	0.00056786	0	0.0235509	0	0.0413594	0.000150783	0.000204338	0	0	0.00770849	0	0
TRIAP1	0.241547	0.146617	0	0.145592	0	0.171445	0.00737407	0	0	0	0.177183	0.0152297	1.59451
TRIB1	0.0562964	0	0.00824535	0.17473	0	0.285509	0.768808	0	0	0.0671564	0.201131	0.0515212	0
TRIB2	0.200416	0.0539783	0.405301	0.570349	0	0.0431537	0	0	0.0215134	0	0.217182	0.247043	0.801563
TRIB3	0	0	0	0	0	0	0.0598549	0	0	0	0.0513771	0	0
TRIL	0	0	0	0	0	0.096587	0	0	0	0	0.138988	0	0
TRIM11	0.0601532	0	0	0.0368768	0	0.0578635	0.153904	0	0	0	0.00240017	0.0225103	0
TRIM13	0.06892	0.106358	1.3234	0.404099	0.581671	0.119068	0.204637	0.272152	0	0	0.191717	0.21003	0.704273
TRIM14	0.0341149	0.116832	0	0.0683148	0	0.00535399	0.205381	0	0	0	0	0	0
TRIM16	0.0395101	0	0.873113	0.113061	0.481307	0.00030269	0	0	0	0	0.00212446	0.000270894	0
TRIM16L	0.00122278	0	0.0827291	0.0118296	0.0141844	0.00154104	0	0	0	0	0.000234068	0.0351592	0
TRIM2	0	0	0	0.0332798	0.0741026	0.26733	0	0	0	0	0.0376408	0.0574532	0
TRIM21	0.161261	0.0738197	0.412737	0.248232	0	0.064335	0.00742781	0	0	0	0.0115549	0.16573	0
TRIM22	0.675871	0.0617546	0	0.322488	0	0.454706	0.0365582	0.312849	0.0560986	0	0.130254	0.149509	0.733593
TRIM23	0	0.0090363	0.000472377	0.0317648	0	0.0522075	0.015955	0	0	0	0.0613024	0.0127858	0
TRIM24	0.0788996	0.0249181	0.158749	0.00902805	0	0.0291454	0.125076	0	0	0	0.000136108	0	0
TRIM25	0	0	1.30375	0.179034	0.107124	0.0604422	0.213295	0	0	0	0.00541531	0.0764629	0
TRIM26	0	0	0	8.18082e-05	0	0.0622448	0	0	0	0	0	0.0367072	0
TRIM27	0.00505861	0.134671	0	0.085891	0.546872	0.15566	0.0072957	0	0	0	0.163948	0.146428	1.45458
TRIM28	0.206561	0	0.523513	0.16936	0.365107	0.311623	0.219492	0.26398	0	0	0.184907	0.12511	0
TRIM3	0	0.0655124	0.320533	0	0	0.0214077	0	0	0	0	0.081907	0	0
TRIM33	0.297307	0.068248	0.518309	0.110824	0.000452523	0.154438	0.0392062	0.408692	0.528125	0	0.100204	0	0.450308
TRIM34	0	0	0	0.0100923	0	0	0	0.0480673	0	0	5.87364e-05	0	0
TRIM35	0.00545445	0.138899	0	0.135345	0	0.0625117	0	0	0	0	0.0750986	0.106306	0
TRIM36	0	0	0	0	0	0	0.000140537	0	0	0	0	0.00167434	0
TRIM37	0.0445031	0	0	0.0207015	0	0.140834	0.0105093	0.0145676	0	0	5.23214e-05	0.0964146	0
TRIM38	0.32429	0.261446	0.41262	0.087687	0.00826494	0.201064	0.22619	0.247542	0.154625	0	0.0655168	0.198695	0.0510111
TRIM39	0.0301243	0	0	0	0	0.0216492	0.0682442	0	0	0	0.0583404	0	0
TRIM4	0.0240397	0	0.381274	0.0775309	0	0.297627	0.0228381	0	0	0	0.147918	0.202544	0.878517
TRIM41	0	0	0.237422	0.0173294	0	0.000850505	0.021082	0.0214178	0	0.0671564	0.0851244	0	0
TRIM44	0.1197	0.205558	0	0.222798	0.43087	0.286328	0.323079	0	0	0.0539846	0.262758	0.27243	0.285072
TRIM45	0	0	0	0.0263656	0	0.024784	0	0	0	0	0.055573	0	0
TRIM46	0	0.00179346	0	0.020985	0	0	0	0	0	0	0.0147978	0	0
TRIM47	0	0.106204	0.12262	0.182561	0	0.056399	0.1	0	0	0	0.0433625	0	0.086839
TRIM5	0.0760737	0.00823317	0.516099	0.0713634	0	0.141855	0.0453992	0	0	0	0.135408	0.11286	0
TRIM52	0.096485	0.000209	0.00110541	0.00185347	0.329376	0.016101	0.000734071	0.299074	0.238384	0	0.000330444	0.0896908	0
TRIM55	0	0	0	0.00132307	0	1.56437e-05	0	0	0	0	0	0.000716931	0
TRIM56	0.160558	0.181008	0.469691	0.358907	0.566805	0.395828	0.046406	0.292373	0.532855	0	0.224403	0.243294	0.349703
TRIM59	0.131843	0.156102	0	0.0979166	0	0.00409826	0.000271287	0	0	0	0.0448112	0.0413106	0.801377
TRIM6	0	0	0	0.102389	0	0.0460078	0	0	0	0	0	0	0
TRIM60	0	0	0	0.000482153	0	0.000228235	0.00861802	0	0	0	5.24128e-05	0	0
TRIM61	0	0.062558	0	0	0	0.0407424	0	0.209432	0	0	0	0	0
TRIM62	0	0	0	4.00529e-05	0	0.00823548	0.0336028	0	0	0	0	0	0
TRIM65	0.0475948	0.135483	0	0.0300518	0.0234074	0.027176	0.0888221	0	0	0	0.0102349	0	0
TRIM66	0.0309434	0	0	0.0345315	0	0.0432786	0	0	0	0.0671564	0.0122361	0	0
TRIM68	0.000127963	0	0	0.0664069	0	0.0152173	0	0.408144	0	0	0.0294024	0.0580453	0.540904
TRIM69	0.204608	0.0975776	0.00653342	0.18756	0.512489	0.167079	0.000169316	0.000220402	0	0	0.210256	0.155288	0
TRIM7	0	0	0	0	0.0875128	0.00217008	0	0	0	0	0.0171253	0	0
TRIM72	0	0	0	0	0	0	0.00023647	0	0	0.0539846	0.000113212	0	0
TRIM73	0	0	0	0	0	0.000213942	0.00132209	0	0	0	0	0.00057542	0
TRIM8	0	0.012123	0	0.0557737	0.507623	0.225947	0.123005	0.316106	0	0	0.131661	0.124933	0
TRIM9	0	0	0	0	0	0.00824563	0	0	0	0	4.37428e-05	0	0
TRIO	0	0	0	0.149741	0.0036031	0.281445	0.188949	0.198967	0	0	0.0237013	0.00131042	0
TRIOBP	0.0753762	0.107708	0.104384	0.380866	0	0.431593	0.13327	0.0087976	0.00225236	0	0.239373	0.480489	1.49301
TRIP10	0	0	0	0.0457563	0.550456	0.408641	0.145935	0.610187	0	0	0.181682	0.172631	0.0208554
TRIP11	0.146369	0	1.62612	0.0861872	0.660858	0.304486	0.196342	0.159904	0	0	0.268537	0.048721	0
TRIP12	0.129379	0.000259582	0.091933	0.299001	0.33021	0.196893	0.336069	0.117835	0.59101	0	0.219424	0.249876	0.0461119
TRIP13	0	0	0	0.00453451	0	0.00220979	0.0372643	0	0	0	0	0	0
TRIP4	0.153758	0.254415	1.08565	0.066206	0.00346866	0.164528	0.01521	0.0400224	0	0	0.107282	0.0417597	0.284895
TRIP6	0	0	0	0	0	0.216712	0.0610988	0	0	0	0.0887132	0.163118	0
TRIQK	0	0	0.389189	0.0218557	0	0.123577	0.0703893	0.174183	0	0	0.0280589	0.000226487	0
